symbol,date,price
0.25,Oct 1,16.63
0.25,Oct 6,16.81
0.25,Oct 12,17.99
0.25,Oct 18,19.84
0.25,Oct 24,20.59
0.25,Oct 30,23.42
0.25,Nov 1,23.18
0.25,Nov 6,24.43
0.25,Nov 12,25.49
0.25,Nov 18,27.48
0.25,Nov 24,29.27
0.25,Nov 30,30.34
0.25,Dec 1,28.05
0.25,Dec 6,28.67
0.25,Dec 12,28.8
0.50,Oct 1,14.82
0.50,Oct 6,14.79
0.50,Oct 12,13.44
0.50,Oct 18,13.52
0.50,Oct 24,13.99
0.50,Oct 30,13.66
0.50,Nov 1,15.76
0.50,Nov 6,15.19
0.50,Nov 12,13.36
0.50,Nov 18,15.81
0.50,Nov 24,15.91
0.50,Nov 30,14.52
0.50,Dec 1,15.41
0.50,Dec 6,16.4
0.50,Dec 12,16.52
0.75,Oct 1,9.46
0.75,Oct 6,9.32
0.75,Oct 12,9.09
0.75,Oct 18,9.29
0.75,Oct 24,8.85
0.75,Oct 30,10.01
0.75,Nov 1,11.34
0.75,Nov 6,11.0
0.75,Nov 12,11.55
0.75,Nov 18,11.54
0.75,Nov 24,12.79
0.75,Nov 30,12.32
0.75,Dec 1,12.85
0.75,Dec 6,12.16
0.75,Dec 12,12.55
1.00,Oct 1,5.13
1.00,Oct 6,5.31
1.00,Oct 12,5.12
1.00,Oct 18,5.83
1.00,Oct 24,6.81
1.00,Oct 30,6.43
1.00,Nov 1,6.39
1.00,Nov 6,7.21
1.00,Nov 12,7.35
1.00,Nov 18,7.5
1.00,Nov 24,7.91
1.00,Nov 30,8.73
1.00,Dec 1,8.06
1.00,Dec 6,8.62
1.00,Dec 12,8.02
